Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30
18586841142.951317,20944175028.685585,7159151757.207574,8383904770.707998,2735822618.861689,9251739324.243095,9670466615.462881,8293750437.721114,9165125673.843687,6661126026.608826,14133194646.374949,9306103061.64223,12922133150.475761,10752293550.413454,8797363309.331516,13457381095.948208,17665896018.100502,14346049684.630707,15967435575.02967,28760226980.183147,16830892656.787481,1759816277.014806,16622635738.08257,12111367531.048409,635484312.6398109,11593826000.511782,15843832967.789232,-8014061381.819808,8425653982.676936,19193945396.5918
18895951088.812893,21172645363.407005,7409517448.580595,8602051426.686657,2992271696.350644,9439749832.741667,9853731353.282225,8514004443.624985,9380823764.457918,6972232165.347125,14327842941.12179,9572957971.242708,13104294821.192854,11073657818.951525,9102118490.500694,13711400502.673708,17896424871.153572,14596067655.017963,16210300194.4298,29045674613.6306,17096391353.077597,2029709551.1622713,16866785372.840195,12283374362.183264,871941210.4682376,11961007818.506233,16176504619.089832,-7602804213.122094,8747905619.34773,19434171063.781548
19199744496.25105,21395999584.443756,7656620571.068621,8817140423.936117,3246257818.8018656,9624825746.682861,10034002452.9836,8731168102.918932,9593375838.207624,7279821790.613706,14518752303.180294,9835996247.459454,13282931111.151096,11390639885.103476,9402955549.528322,13961293893.726065,18122361114.998295,14841759624.960287,16448747774.874166,29324515379.098965,17357228878.635494,2297074277.0546627,17106378675.706163,12452139190.63967,1106367302.2847128,12323373993.882328,16503953999.487555,-7193682241.181877,9066121961.273752,19669516604.433865
19497839083.721836,21613799485.636642,7900328285.024129,9029008431.820616,3497744454.427333,9806782562.671572,10211085909.719585,8945078365.174168,9802598939.95101,7583778122.707802,14705632337.338472,10095040563.583614,13457775680.685421,11703032770.182142,9699710449.746658,14206788771.361784,18343338984.472713,15082835370.624922,16682448249.980137,29596142052.874573,17613058331.266506,2561897949.9038367,17341073401.52321,12617411977.834173,1338770323.9110715,12680704197.370655,16825865697.30968,-6786481840.347619,9380149315.639029,19899584716.7946
19790239732.98881,21826111848.743057,8140580635.334738,9237620708.881023,3746629961.4222693,9985608025.823969,10384975597.455261,9155697136.148533,10008464211.03664,7884007457.226321,14888509578.301334,10350042546.896715,13628849826.72506,12010771260.489601,9992310917.602413,14447875171.195665,18559396598.61911,15319296572.171219,16911416822.247292,29860657608.980858,17863891263.022213,2824065224.902404,17570891664.314686,12779211031.507189,1569040337.1778607,13032919206.201853,17142214522.358032,-6381470579.785085,9689904525.441494,20124422574.51333
20077127662.120064,22033144046.251423,8377448934.500696,9443060149.095436,3992940706.4962134,10161394169.17408,10555767969.72411,9363104779.159576,10211060359.117657,8180576223.043184,15067525095.662083,10601096292.282896,13796281616.706795,12313961038.191565,10280844685.793741,14684685450.220863,18770709024.843403,15551286556.60704,17135809270.109543,30118344696.689613,18109892053.155033,3083593902.764446,17795997688.12782,12937655346.176485,1797182772.2617066,13380134126.948643,17453159109.450962,-5978728552.265386,9995472553.839472,20344221321.431538
20358673908.371315,22235089142.786472,8611004248.813906,9645407711.736895,4236707340.6012006,10334229532.697165,10723555284.310978,9567379497.276844,10410473021.649008,8473552344.102522,15242811816.951262,10848293839.42379,13960191589.051336,12612705430.876495,10565398718.922728,14917345751.439219,18977440499.677876,15778941398.741875,17355772582.229,30369465370.066788,18351215967.200447,3340507691.5476675,18016546225.826096,13092857346.261211,2023209151.2153542,13722461900.08225,17758851099.716595,-5578317299.844297,10296938381.934074,20559160341.75299
20634882921.052338,22431963277.987637,8841242398.346476,9844662773.223068,4477917761.162684,10504117217.998987,10888341546.993515,9768518197.987864,10606700388.848288,8762926459.256699,15414379927.286772,11091634298.354141,14120587614.622976,12906998945.391527,10845967437.113249,15145859227.976278,19179602786.54736,16002267875.811954,17571313010.564163,30614040644.365326,18587868839.691975,3594793950.857741,18232546152.46396,13244823957.938683,2247105931.417036,14059896129.574947,18059294084.23765,-5180274119.781749,10594295546.081778,20769254269.323498
20905758296.745956,22623781734.69166,9068158499.13197,10040823855.827541,4716559143.810306,10671059438.258335,11050129974.981333,9966517117.997622,10799739954.854485,9048688481.514399,15582238594.907251,11331116074.513327,14277476772.731834,13196835376.990583,11122544672.246422,15370228178.304417,19377206643.163967,16221271921.550423,17782435886.919003,30852090304.342365,18819855379.134144,3846439143.031032,18444005319.96913,13393561029.727396,2468858759.313046,14392429673.860033,18354490879.189636,-4784637055.114736,10887536881.491446,20974516344.53729
21171301543.57031,22810557711.087593,9291745752.961554,10233887490.556692,4952616859.214018,10835056434.285355,11208921996.934847,10161370848.076183,10989587538.019772,9330826465.414154,15746394857.816778,11566735804.783863,14430864460.47927,13482206658.548332,11395122459.480467,15590452881.512821,19570260642.46018,16435957515.171165,17989144421.815357,31083631736.706097,19047178002.419437,4095427620.2450686,18650929402.817627,13539072281.589993,2688451424.278271,14720053439.765055,18644442327.45024,-4391446178.992076,11176653496.262978,21174957157.4133
21431514137.641575,22992304130.33466,9511997257.5786,10423850155.57528,5186076322.216198,10996108315.897018,11364718931.030922,10353073976.284323,11176238943.389317,9609328510.135046,15906855566.911917,11798490212.526783,14580756045.02571,13763104788.25993,11663692855.099953,15806533581.788202,19758773196.963417,16646328616.298567,18191441793.48595,31308682204.20316,19269839119.40601,4341743840.738407,18853323998.38941,13681361286.851871,2905867835.904721,15042758469.670532,18929149365.335808,-4000741133.1031294,11461636768.281809,21370587158.400135
21686400105.79705,23169036041.0918,9728908407.473255,10610710686.23517,5416925294.490707,11154217351.937141,11517524078.19387,10541623141.336449,11359692034.320744,9884185149.32539,16063629785.730352,12026378386.596731,14727158840.94051,14039524245.683891,11928250340.26375,16018472958.587425,19942755079.78066,16852391545.452646,18389333697.29739,31527261504.67609,19487843803.4856,4585375034.284304,19051197173.15981,13820433816.333479,3121094355.9963264,15360538502.605013,19208615552.086704,-3612558250.7570376,11742480661.028313,21561419544.349606
